run,task,best_model,labels,accuracy,macro_f1,auc
outputs_v2_model_smoke_hierarchical_attribution,ai_subsource_attribution,lightgbm_hierarchical,ADM|BigGAN|VQDM|glide,0.8833333333333333,0.880113527111119,
outputs_v2_model_smoke_pairwise_ovo_attribution,binary_ai_vs_nature,lightgbm,ai|nature,0.8791666666666667,0.8791141988710378,0.9422395833333332
outputs_v2_model_smoke_pairwise_ovo_attribution,ai_subsource_attribution,lightgbm_pairwise_ovo,ADM|BigGAN|VQDM|glide,0.8791666666666667,0.8765158714160931,
outputs_v2_smoke_block_dct,binary_ai_vs_nature,lightgbm,ai|nature,0.875,0.8741258741258742,0.965277777777778
outputs_v2_smoke_block_dct,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.9583333333333334,0.958041958041958,
outputs_v2_smoke_color_freq,binary_ai_vs_nature,lightgbm,ai|nature,0.9583333333333334,0.9583333333333334,0.9965277777777776
outputs_v2_smoke_color_freq,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.9166666666666666,0.9166666666666669,
outputs_v2_smoke_fusion_freq,binary_ai_vs_nature,lightgbm,ai|nature,0.9583333333333334,0.9583333333333334,0.9913194444444444
outputs_v2_smoke_fusion_freq,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,1.0,1.0,
outputs_v2_smoke_multiscale_freq,binary_ai_vs_nature,lightgbm,ai|nature,0.8958333333333334,0.8954248366013071,0.9652777777777778
outputs_v2_smoke_multiscale_freq,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.8333333333333334,0.8223276723276723,
outputs_v2_smoke_residual_freq,binary_ai_vs_nature,lightgbm,ai|nature,0.9166666666666666,0.9165217391304348,0.9739583333333334
outputs_v2_smoke_residual_freq,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.8333333333333334,0.8057692307692308,
