run,task,labels,model,accuracy,macro_f1,auc
outputs_parallel_smoke_min,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,logreg,0.75,0.6666666666666666,
outputs_smoke_4gen_min,binary_ai_vs_nature,ai|nature,lightgbm,0.9166666666666666,0.9165217391304348,0.9600694444444444
outputs_smoke_4gen_min,binary_ai_vs_nature,ai|nature,random_forest,0.875,0.875,0.9496527777777778
outputs_smoke_4gen_min,binary_ai_vs_nature,ai|nature,logreg,0.875,0.875,0.9444444444444444
outputs_smoke_4gen_min,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.9166666666666666,0.9115384615384616,
outputs_smoke_4gen_min,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,random_forest,0.7916666666666666,0.7922077922077922,
outputs_smoke_4gen_min,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,logreg,0.7916666666666666,0.7704517704517704,
outputs_smoke_enhanced_min,binary_ai_vs_nature,ai|nature,lightgbm,0.9166666666666666,0.9165217391304348,0.9583333333333331
outputs_smoke_enhanced_min,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.875,0.870920745920746,
outputs_smoke_feature_profile_baseline,binary_ai_vs_nature,ai|nature,lightgbm,0.8958333333333334,0.8957881024750325,0.9618055555555556
outputs_smoke_feature_profile_baseline,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.875,0.870920745920746,
outputs_smoke_feature_profile_enhanced,binary_ai_vs_nature,ai|nature,lightgbm,0.9166666666666666,0.9165217391304348,0.9548611111111112
outputs_smoke_feature_profile_enhanced,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.875,0.870920745920746,
outputs_smoke_min,binary_ai_vs_nature,ai|nature,logreg,0.8333333333333334,0.8321678321678322,0.9097222222222222
outputs_smoke_min,binary_ai_vs_nature,ai|nature,random_forest,0.7916666666666666,0.791304347826087,0.861111111111111
outputs_smoke_min,binary_ai_vs_nature,ai|nature,lightgbm,0.75,0.75,0.8958333333333333
outputs_smoke_min,ai_subsource_attribution,ADM|BigGAN,logreg,1.0,1.0,1.0
outputs_smoke_min,ai_subsource_attribution,ADM|BigGAN,lightgbm,0.9166666666666666,0.916083916083916,1.0
